drug	0	1	2	3	4	5	6	7	8	9	brandred
aspirin_dipyridamole	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	1.0
follitropin_beta	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	1.0
cilostazol	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	0.137931034483
chloroxylenol_hc_pramoxine_hcl	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.272727272727
cpm_dm_hydrobrom_pse_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.550561797753
carbetapentane_tannate_chlorpheniramine_tann	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.217391304348
trimethoprim	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	0.130434782609
buprenorphine_hydrochloride_naloxone_hydroch	Analy/Antipyr,OpiatePart Agnst	Analy/Antipyr,OpiatePart Agnst	Analy/Antipyr,OpiatePart Agnst	Analy/Antipyr,OpiatePart Agnst	Analy/Antipyr,OpiatePart Agnst	Analy/Antipyr,OpiatePart Agnst	Analy/Antipyr,OpiatePart Agnst	Analy/Antipyr,OpiatePart Agnst	Analy/Antipyr,OpiatePart Agnst	Analy/Antipyr,OpiatePart Agnst	0.859375
itraconazole	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	0.357142857143
salsalate	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	0.0441860465116
insulin_aspart_insulin_aspart_protamine	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	1.0
metformin_hydrochloride_pioglitazone_hydroch	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	0.448275862069
desmopressin_acetate	Pituitary Hormones	Pituitary Hormones	Pituitary Hormones	Pituitary Hormones	Pituitary Hormones	Pituitary Hormones	Pituitary Hormones	Pituitary Hormones	Pituitary Hormones	Pituitary Hormones	0.298245614035
sotalol_hydrochloride	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	0.113924050633
multivitamin_and_minerals	Misc Therapeutic Agents	Misc Therapeutic Agents	Multivit Prep, Multivit Plain	Misc Therapeutic Agents	Multivit Prep, Multivit Plain	Misc Therapeutic Agents	Misc Therapeutic Agents	Multivit Prep, Multivit Plain	Misc Therapeutic Agents	Misc Therapeutic Agents	0.444165621079
malathion	Antiinf S/MM, Scabic/Pediculic	Antiinf S/MM, Scabic/Pediculic	Antiinf S/MM, Scabic/Pediculic	Antiinf S/MM, Scabic/Pediculic	Antiinf S/MM, Scabic/Pediculic	Antiinf S/MM, Scabic/Pediculic	Antiinf S/MM, Scabic/Pediculic	Antiinf S/MM, Scabic/Pediculic	Antiinf S/MM, Scabic/Pediculic	Antiinf S/MM, Scabic/Pediculic	0.571428571429
flurbiprofen	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	0.173913043478
cromolyn_sodium	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	0.328
desloratadine_pseudoephedrine_sulfate	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	1.0
hydrochlorothiazide_spironolactone	Diuretics, Potassium-Sparing	Diuretics, Potassium-Sparing	Diuretics, Potassium-Sparing	Diuretics, Potassium-Sparing	Diuretics, Potassium-Sparing	Diuretics, Potassium-Sparing	Diuretics, Potassium-Sparing	Diuretics, Potassium-Sparing	Diuretics, Potassium-Sparing	Diuretics, Potassium-Sparing	0.0348258706468
guanfacine_hydrochloride	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	0.318181818182
almotriptan_malate	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	1.0
nizatidine	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	0.343373493976
carbetapentane_tan_phenyleph_tan_pyril_tan	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.25
vancomycin_hydrochloride	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.1640625
gemifloxacin_mesylate	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	1.0
follicle_stimulating_hormone_luteinizing_hor	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	0.75
chloroquine_phosphate	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	0.0869565217391
chorionic_gonadotropin_alfa__recombinant	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	1.0
diphenhydramine_hydrochloride	Dental Agents	Dental Agents	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Dental Agents	Antitussives/Cold Comb	Dental Agents	Dental Agents	Dental Agents	0.177496038035
milnacipran_hydrochloride	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	1.0
glycopyrrolate	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	0.230769230769
bacitracin_zinc_polymyxin_b_sulfate	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.234375
rivaroxaban	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	1.0
betamethasone_dipropionate_calcipotriene	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	1.0
gramicidin_neomycin_sulfate_polymyxin_b_sulf	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.0694444444444
amylase_lipase_protease	Digestants & Comb	Digestants & Comb	Digestants & Comb	Digestants & Comb	Digestants & Comb	Digestants & Comb	Digestants & Comb	Digestants & Comb	Digestants & Comb	Digestants & Comb	0.389671361502
amlodipine_besylate_atorvastatin_calcium	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	0.452054794521
captopril	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	0.0970695970696
sumatriptan	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	0.55
nicotine	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	0.51677852349
metformin_hydrochloride_rosiglitazone_maleat	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	1.0
retapamulin	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	1.0
bromfenac_sodium	Adrenals & Comb	Analg/Antipyr,Nonstr/Antiinflm	Adrenals & Comb	Adrenals & Comb	Analg/Antipyr,Nonstr/Antiinflm	Adrenals & Comb	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Adrenals & Comb	Adrenals & Comb	1.0
mefenamic_acid	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	0.302325581395
apap_butalbital_caff_codeine_phos	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	0.22
lancet_device	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	0.0
fosinopril_sodium	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	0.248062015504
amlodipine_besylate_valsartan	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	1.0
fenofibrate__micronized	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	0.219512195122
formoterol_fumarate_mometasone_furoate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	1.0
omeprazole_sodium_bicarbonate	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	0.538461538462
aspirin_butalbital_caffeine_codeine_phosphat	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Salicylates	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Salicylates	Analg/Antipyr, Opiate Agonists	0.173913043478
frovatriptan_succinate	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	1.0
flurandrenolide	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.675675675676
diflorasone_diacetate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.639344262295
neomycin_sulfate	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.16935483871
prednisolone_acetate_sulfacetamide_sodium	Adrenals & Comb	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Adrenals & Comb	Adrenals & Comb	Antiinfect, Antiinflam EENT	Adrenals & Comb	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	0.340740740741
benzocaine_trimethobenzamide_hydrochloride	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	0.121212121212
diflunisal	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	0.201117318436
multivitamin__minerals__and_iron	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	0.469565217391
zonisamide	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	0.253731343284
pentosan_polysulfate_sodium	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	0.6875
hydroquinone	Depig/Pig S/MM Depigment Agent	Depig/Pig S/MM Depigment Agent	Depig/Pig S/MM Depigment Agent	Depig/Pig S/MM Depigment Agent	Depig/Pig S/MM Depigment Agent	Depig/Pig S/MM Depigment Agent	Depig/Pig S/MM Depigment Agent	Depig/Pig S/MM Depigment Agent	Depig/Pig S/MM Depigment Agent	Depig/Pig S/MM Depigment Agent	0.48951048951
besifloxacin_hydrochloride	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	1.0
hydrocodone_bitartrate_potassium_guaiacolsul	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.175
bromfenac	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.4
rifaximin	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	1.0
indapamide	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	0.103174603175
estropipate	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Misc Therapeutic Agents	Misc Therapeutic Agents	Estrogens & Comb	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Estrogens & Comb	0.179775280899
glucagon_hydrochloride	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	0.75
griseofulvin__microcrystalline	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	0.405797101449
loperamide_hydrochloride	Antidiarrhea Agents	Antidiarrhea Agents	Antidiarrhea Agents	Antidiarrhea Agents	Antidiarrhea Agents	Antidiarrhea Agents	Antidiarrhea Agents	Antidiarrhea Agents	Antidiarrhea Agents	Antidiarrhea Agents	0.235807860262
naproxen_sodium_sumatriptan_succinate	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	1.0
ziprasidone_hydrochloride	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	0.505050505051
